n,escenario,objetivo,algoritmo,repeticion,posicion,comparaciones,tiempo_ns
100,centro,17850.0,Binaria,2,74,2,500
100,centro,17850.0,Binaria,3,74,2,500
100,centro,17850.0,Binaria,4,74,2,400
100,centro,17850.0,Binaria,5,74,2,400
100,centro,17850.0,Binaria,6,74,2,500
100,centro,17850.0,Binaria,7,74,2,400
100,centro,17850.0,Binaria,8,74,2,400
100,centro,17850.0,Binaria,9,74,2,500
100,centro,17850.0,Binaria,10,74,2,400
100,centro,17850.0,Binaria,11,74,2,400
100,centro,17850.0,Binaria,12,74,2,400
100,centro,17850.0,Binaria,13,74,2,400
100,centro,17850.0,Binaria,14,74,2,400
100,centro,17850.0,Binaria,15,74,2,400
100,centro,17850.0,Binaria,16,74,2,400
100,centro,17850.0,Binaria,17,74,2,500
100,centro,17850.0,Binaria,18,74,2,400
100,centro,17850.0,Binaria,19,74,2,600
100,centro,17850.0,Binaria,20,74,2,500
100,centro,17850.0,Binaria,21,74,2,400
100,centro,17850.0,Binaria,22,74,2,400
100,centro,17850.0,Binaria,23,74,2,400
100,centro,17850.0,Binaria,24,74,2,400
100,centro,17850.0,Binaria,25,74,2,400
100,centro,17850.0,Binaria,26,74,2,400
100,centro,17850.0,Binaria,27,74,2,400
100,centro,17850.0,Binaria,28,74,2,400
100,centro,17850.0,Binaria,29,74,2,400
100,centro,17850.0,Binaria,30,74,2,400
100,final,14688.0,Lineal,1,86,87,7100
100,final,14688.0,Lineal,2,86,87,4200
100,final,14688.0,Lineal,3,86,87,3600
100,final,14688.0,Lineal,4,86,87,3600
100,final,14688.0,Lineal,5,86,87,3600
100,final,14688.0,Lineal,6,86,87,3600
100,final,14688.0,Lineal,7,86,87,3500
100,final,14688.0,Lineal,8,86,87,3500
100,final,14688.0,Lineal,9,86,87,3900
100,final,14688.0,Lineal,10,86,87,3800
100,final,14688.0,Lineal,11,86,87,3600
100,final,14688.0,Lineal,12,86,87,3500
100,final,14688.0,Lineal,13,86,87,7700
100,final,14688.0,Lineal,14,86,87,3900
100,final,14688.0,Lineal,15,86,87,4000
100,final,14688.0,Lineal,16,86,87,4100
100,final,14688.0,Lineal,17,86,87,3800
100,final,14688.0,Lineal,18,86,87,3900
100,final,14688.0,Lineal,19,86,87,3800
100,final,14688.0,Lineal,20,86,87,4000
100,final,14688.0,Lineal,21,86,87,4000
100,final,14688.0,Lineal,22,86,87,3900
100,final,14688.0,Lineal,23,86,87,4100
100,final,14688.0,Lineal,24,86,87,3800
100,final,14688.0,Lineal,25,86,87,3800
100,final,14688.0,Lineal,26,86,87,3800
100,final,14688.0,Lineal,27,86,87,4700
100,final,14688.0,Lineal,28,86,87,2800
100,final,14688.0,Lineal,29,86,87,2800
100,final,14688.0,Lineal,30,86,87,2900
100,final,14688.0,Binaria,1,49,1,1000
100,final,14688.0,Binaria,2,49,1,400
100,final,14688.0,Binaria,3,49,1,300
100,final,14688.0,Binaria,4,49,1,300
100,final,14688.0,Binaria,5,49,1,200
100,final,14688.0,Binaria,6,49,1,300
100,final,14688.0,Binaria,7,49,1,300
100,final,14688.0,Binaria,8,49,1,200
100,final,14688.0,Binaria,9,49,1,300
100,final,14688.0,Binaria,10,49,1,200
100,final,14688.0,Binaria,11,49,1,300
100,final,14688.0,Binaria,12,49,1,300
100,final,14688.0,Binaria,13,49,1,200
100,final,14688.0,Binaria,14,49,1,200
100,final,14688.0,Binaria,15,49,1,300
100,final,14688.0,Binaria,16,49,1,200
100,final,14688.0,Binaria,17,49,1,300
100,final,14688.0,Binaria,18,49,1,300
100,final,14688.0,Binaria,19,49,1,300
100,final,14688.0,Binaria,20,49,1,200
100,final,14688.0,Binaria,21,49,1,300
